"complementaryfilter",,,"GPSx","GPSy","GPSz","mu",,,,,,"IMUonly",,,
-2699427.8854,-4293197.2741,3855131.2279,-2699429.714,-4293199.26,3855138.0263,-2699421.5804,-0.057313,-4293200.6233,0.052735,3855133.5984,0.97792,-2699460.8424,-4293269.9426,3855072.9354,
-2699427.3604,-4293195.8338,3855131.3299,-2699429.1968,-4293198.4376,3855123.307,-2699422.4383,-0.048177,-4293200.339,0.050362,3855132.098,1.0091,-2699460.8601,-4293270.3634,3855073.0644,
-2699429.5174,-4293194.4205,3855132.2992,-2699425.1579,-4293192.014,3855131.4757,-2699422.7471,-0.048469,-4293199.2691,0.056436,3855132.0872,0.99584,-2699460.8792,-4293270.8457,3855073.0186,
-2699429.4994,-4293194.8776,3855133.4589,-2699435.2535,-4293191.4418,3855135.2176,-2699424.1519,-0.042724,-4293198.2624,0.059797,3855132.6518,0.94296,-2699460.895,-4293271.3524,3855072.6088,
-2699430.317,-4293192.4045,3855132.8408,-2699428.9547,-4293198.0525,3855136.9346,-2699424.6934,-0.035182,-4293198.2304,0.057224,3855133.39,0.91485,-2699460.9079,-4293271.8321,3855072.094,
-2699430.855,-4293190.775,3855132.452,-2699432.3199,-4293186.7762,3855130.9998,-2699425.5507,-0.036199,-4293196.7596,0.05328,3855133.1006,0.95506,-2699460.9665,-4293271.6966,3855072.3761,
-2699431.8095,-4293190.2946,3855132.7603,-2699432.539,-4293187.1246,3855131.3148,-2699426.3369,-0.053781,-4293195.5219,0.0484,3855132.909,1.0393,-2699461.0616,-4293271.5741,3855071.7096,
-2699433.1017,-4293190.7305,3855133.5791,-2699434.1929,-4293189.755,3855133.6928,-2699427.222,-0.073095,-4293194.7798,0.040288,3855133.1187,1.0796,-2699461.1891,-4293271.4737,3855070.8183,
-2699436.6126,-4293190.9813,3855135.1943,-2699435.8022,-4293192.3145,3855136.0066,-2699428.1894,-0.075216,-4293194.4609,0.035547,3855133.6534,1.0382,-2699461.3124,-4293271.3834,3855070.6053,
-2699437.0395,-4293191.7699,3855135.8527,-2699446.0971,-4293192.0591,3855140.0349,-2699430.2012,-0.05956,-4293194.1504,0.037308,3855134.7212,0.9584,-2699461.4003,-4293271.2852,3855071.2943,
-2699440.0503,-4293192.1958,3855137.2528,-2699437.0661,-4293194.3245,3855137.8237,-2699430.9749,-0.040924,-4293194.1693,0.042412,3855135.279,0.92784,-2699461.4582,-4293271.1715,3855072.095,
-2699440.6723,-4293189.9677,3855135.9896,-2699447.0802,-4293193.6226,3855141.4483,-2699432.7821,-0.038409,-4293194.0955,0.048394,3855136.3081,0.96494,-2699461.5174,-4293271.0418,3855072.325,
